n,tiempo_recursivo(s),tiempo_iterativo(s)
1000,0.00000000,0.00000000
2000,0.00000000,0.00000000
3000,0.00000000,0.00000000
5000,0.00100000,0.00000000
8000,0.00000000,0.00000000
